,State,City,Metro,FIPS, Pop 2010 ,Cancer %,Asthma %,Heart Disease %,Pluminary Disease %,Mental Illness %,Poor Health %,Lat,Lon,ID,Lat_Metro,Lon_Metro,Avg Temp 1990,Avg Temp 2014,Pop_Metro_2015,CO2 1975,CO2 1990,CO2 2000,CO2 2012,PM2.5 2000,PM2.5 2005,PM 2.5 2010,PM2.5 2014,Heat Wave Index
369,,,Toledo ,,,,,,,,,,,754,41.67408047,-83.548263,10.1761651,10.04414821,248621.181,4988152.632,4589115.94,4363075.354,3262067.092,20.2326,15.94882,13.46556,14.33245,8.97317028
370,,,Toms River ,,,,,,,,,,,942,39.96415945,-74.16319425,12.59238482,12.99253011,139792.4027,732129.8102,621513.814,670317.7215,580527.3576,16.36232,12.84068,9.791824,9.77916,6.091619968
371,,,Topeka ,,,,,,,,,,,405,39.03107994,-95.70518194,13.09643006,13.21520185,94598.08414,452064.7976,400780.0037,398687.0219,372250.4744,14.15682,10.90632,9.634938,10.052935,27.42620087
372,,,Tracy ,,,,,,,,,,,28,37.73007868,-121.4314133,15.7457211,17.04826498,91449.60626,253663.9344,293226.588,482303.7699,382838.9926,15.29302,11.9267,11.571642,13.5235,9.207719803
373,,,Trenton ,,,,,,,,,,,933,40.22577813,-74.73161462,12.15541935,12.50093627,202239.5181,1642202.149,1480683.596,1440757.097,1393701.581,17.7085,14.16778,11.18028,11.0464,5.486879826
374,,,Troy ,,,,,,,,,,,992,42.74942926,-73.6938256,9.334177256,9.621221304,76268.87146,343167.602,293825.6833,254103.8025,224786.0376,12.41974,10.769096,8.78067,9.28227,6.559410095
55,AZ,Tucson,Tucson,477000,520116,5.7,10.8,6.2,6.7,14.1,14.4,32.15672445,-110.8770855,,,,,,,,,,,,,,,
375,,,Tucson ,,,,,,,,,,,84,32.24353876,-110.9313916,18.68526888,19.76563072,588176.3438,4462234.108,3628524.369,3729495.462,3108350.987,11.79462,11.189,10.239044,10.43015,8.454350471
69,OK,Tulsa,Tulsa,4075000,391906,6.3,10.3,6.7,7.4,14.3,14.4,36.12842134,-95.90361955,,,,,,,,,,,,,,,
376,,,Tulsa ,,,,,,,,,,,385,36.09653097,-95.90641721,16.02897048,16.68291688,442252.6908,4203831.407,3743532.117,4017962.182,3550282.69,14.9261,11.94778,10.120392,10.4364,12.24040031
