State,City,FIPS, Pop 2010 ,Cancer %,Asthma %,Heart Disease %,Pluminary Disease %,Mental Illness %,Poor Health %,Lat_rough,Lon_rough
CA,Orange,653980,"136,416",5.3,8.3,4.8,5,11.3,11.1,34,-118
AZ,Peoria,454050,"154,065",7,9.7,6,5.9,11.5,11.7,34,-112
CA,Garden Grove,629000,"170,883",4.7,8,5.3,5.3,11.9,12.5,34,-118
GA,Atlanta,1304000,"420,003",4.8,9,5,5.7,12.2,11.1,34,-84
CA,Santa Ana,669000,"324,528",3.7,8.9,5,5.4,14.5,14.9,34,-118
CA,Huntington Beach,636000,"189,992",6.4,8.2,5.1,5,10.3,10.4,34,-118
AZ,Scottsdale,465000,"217,385",8.2,9,6.1,5.2,9.5,10,34,-112
CA,Irvine,636770,"212,375",4.7,7.3,3.4,3.3,9,7.7,34,-118
AZ,Glendale,427820,"226,721",5.5,10.4,5.8,6.5,14,13.8,34,-112
AZ,Phoenix,455000,"1,445,632",5.2,10.3,5.5,6.1,13.9,13.6,34,-112
TX,Lubbock,4845000,"229,573",5.2,9.2,5.5,5.7,13.1,11.8,34,-102
AL,Birmingham,107000,"212,237",5.6,10.5,7.5,8.8,15.2,16.3,34,-87
AZ,Mesa,446000,"439,041",6.7,10.1,6.4,6.6,12.9,13,33,-112
AZ,Tempe,473000,"161,719",4.5,9.9,4,4.6,12.9,9.9,33,-112
GA,Augusta,1304204,"195,844",5.5,10.2,6.6,8,14.5,14.4,33,-82
AZ,Gilbert,427400,"208,453",5,9.3,3.7,4.1,10.9,9.1,33,-112
AZ,Chandler,412000,"236,123",5.3,9.4,4.2,4.6,11.2,10,33,-112
CA,Oceanside,653322,"167,086",5.9,8.5,5.4,5.4,12.5,11.4,33,-117
TX,McKinney,4845744,"131,117",5.1,8.4,4.2,4.4,11,9.5,33,-97
CA,Escondido,622804,"143,911",5.4,8.9,5.5,6,14,13,33,-117
TX,Plano,4858016,"259,841",5.6,7.8,4.3,4.1,9.8,8.9,33,-97
TX,Garland,4829000,"226,876",5.2,9.1,5.9,6.2,12.9,12.7,33,-97
TX,Irving,4837000,"216,290",4.3,8.5,4.8,5,12.1,11.1,33,-97
CA,San Diego,666000,"1,307,402",5,8,4.4,4.3,11.6,9.8,33,-117
TX,Dallas,4819000,"1,197,816",4.8,9.4,5.6,5.8,13.2,12.8,33,-97
TX,Fort Worth,4827000,"741,206",4.9,9.6,5.4,5.9,13,12.7,33,-97
TX,Mesquite,4847892,"139,824",5.2,9.6,5.8,6.4,13.4,12.8,33,-97
TX,Arlington,4804000,"365,438",5.1,9.4,5.1,5.6,12.5,11.8,33,-97
TX,Grand Prairie,4830464,"175,396",4.5,9,4.9,5.2,12.4,11.7,33,-97
CA,Chula Vista,613392,"243,916",4.8,7.9,4.7,4.5,11.8,11.1,33,-117
GA,Columbus,1319000,"189,885",5.8,9.5,6.4,7.5,14,14.1,33,-85
LA,Shreveport,2270000,"199,311",6.1,9.9,7.7,8.2,14.2,14.7,32,-94
AL,Montgomery,151000,"205,764",5.9,10.4,6.8,8.2,14.5,14.5,32,-86
MS,Jackson,2836000,"173,514",5.1,10.1,6.6,7.2,15.1,14.6,32,-90
AZ,Tucson,477000,"520,116",5.7,10.8,6.2,6.7,14.1,14.4,32,-111
GA,Savannah,1369000,"136,286",5.3,10,6,7.6,14.3,13.6,32,-81
TX,El Paso,4824000,"649,121",4.8,8.1,6.2,5.3,12.5,14.5,32,-106
TX,Waco,4876000,"124,805",5.2,10,6.1,6.7,15,13.7,32,-97
TX,Killeen,4839148,"127,921",3.8,9.7,4,4.8,13.6,11.2,31,-98
AL,Mobile,150000,"195,111",6.3,9.9,7.7,8.6,14.7,15.7,31,-88
FL,Tallahassee,1270600,"181,376",4.3,8.5,4,5.6,14.8,10.6,30,-84
LA,Baton Rouge,2205000,"229,493",5.2,9.4,6.4,6.8,14,12.8,30,-91
FL,Jacksonville,1235000,"821,784",5.9,8.3,6.3,7.6,13.8,13.4,30,-82
TX,Austin,4805000,"790,390",4.3,8.3,3.9,4,11.4,9.4,30,-98
LA,New Orleans,2255000,"343,829",5.2,9.4,6.2,6.8,13.3,12.7,30,-90
TX,Houston,4835000,"2,099,451",4.8,8.8,5.6,5.6,13,12.9,30,-95
TX,Pasadena,4856000,"149,043",5,8.6,6,6.2,13.9,14,30,-95
TX,San Antonio,4865000,"1,327,407",4.9,8.4,5.9,5.4,12.5,14.1,29,-99
FL,Orlando,1253000,"238,300",4.8,8.2,5.3,6.3,13.4,12.8,28,-81
FL,Tampa,1271000,"335,709",5.6,8.4,6.1,6.9,13.9,13.8,28,-82
FL,St. Petersburg,1263000,"244,769",7,8.1,7.1,7.8,13,13.3,28,-83
TX,Corpus Christi,4817000,"305,215",5.4,8.6,6.5,6,12.2,14.1,28,-97
TX,Laredo,4841464,"236,091",3.9,8.6,6.3,5.7,14.2,16,28,-99
FL,Port St. Lucie,1258715,"164,603",6.9,8.2,7.7,8.3,12.8,14.4,27,-80
FL,Cape Coral,1210275,"154,305",7.4,7.6,7.4,8,12.3,13.6,27,-82
TX,McAllen,4845384,"129,877",4.6,7.7,6.2,5.4,12,13.3,26,-98
FL,Fort Lauderdale,1224000,"165,521",6.6,8,6.9,7.4,13,13.4,26,-80
FL,Hollywood,1232000,"140,768",6.6,7.7,6.9,7.3,13,13.8,26,-80
FL,Pembroke Pines,1255775,"154,750",6.3,7.1,6.1,5.7,10.9,11.6,26,-80
TX,Brownsville,4810768,"175,023",4.5,8.8,7.1,6.3,14.3,16.5,26,-97
FL,Hialeah,1230000,"224,669",5.6,7,8.6,7.3,13,17,26,-80
FL,Miami,1245000,"399,457",5.3,7.4,7.6,7.1,13.1,15.5,26,-80
HI,Honolulu,15003,"953,207",5.5,9.5,5,4.1,9.6,9.4,21,-158
