State,City,Metro,FIPS, Pop 2010 ,Cancer %,Asthma %,Heart Disease %,Pluminary Disease %,Mental Illness %,Poor Health %,Lat,Lon
NJ,Jersey City,New York,3436000,247597,4.3,8.3,4.7,5.3,11.7,11.7,40.71881309,-74.06877406
FL,St. Petersburg,Tampa,1263000,244769,7,8.1,7.1,7.8,13,13.3,27.79289497,-82.66507432
CA,Chula Vista,San Diego,613392,243916,4.8,7.9,4.7,4.5,11.8,11.1,32.62829643,-117.0100424
VA,Norfolk,Virginia Beach,5157000,242803,4.7,9.6,5.1,5.8,13.1,11.4,36.8932863,-76.25671578
FL,Orlando,Orlando,1253000,238300,4.8,8.2,5.3,6.3,13.4,12.8,28.48006468,-81.34524112
AZ,Chandler,Phoenix,412000,236123,5.3,9.4,4.2,4.6,11.2,10,33.28318981,-111.85221
TX,Laredo,San Antonio,4841464,236091,3.9,8.6,6.3,5.7,14.2,16,27.54825725,-99.48677973
WI,Madison,Madison,5548000,233209,5.1,8.8,4.2,4.2,11.7,9,43.08098657,-89.39151063
NC,Winston-Salem,Winston-Salem,3775000,229617,6,9.2,6.5,7,14.1,12.9,36.1029453,-80.26098892
TX,Lubbock,Lubbock,4845000,229573,5.2,9.2,5.5,5.7,13.1,11.8,33.56662512,-101.8863357
LA,Baton Rouge,Baton Rouge,2205000,229493,5.2,9.4,6.4,6.8,14,12.8,30.45108917,-91.1263552
NC,Durham,Durham,3719000,228330,4.8,8.8,4.8,5.3,12.7,10.8,35.98091474,-78.90591611
TX,Garland,Dallas,4829000,226876,5.2,9.1,5.9,6.2,12.9,12.7,32.91007999,-96.63042586
AZ,Glendale,Phoenix,427820,226721,5.5,10.4,5.8,6.5,14,13.8,33.57961231,-112.2253064
NV,Reno,Reno,3260600,225221,5.8,8.9,6,6.3,14.8,13.6,39.5540172,-119.8527335
FL,Hialeah,Miami,1230000,224669,5.6,7,8.6,7.3,13,17,25.86962695,-80.30452947
VA,Chesapeake,Virginia Beach,5116000,222209,5.8,9,5.3,5.7,11.7,10.8,36.67775211,-76.30243259
AZ,Scottsdale,Phoenix,465000,217385,8.2,9,6.1,5.2,9.5,10,33.68724937,-111.8650859
NV,North Las Vegas,Las Vegas,3251800,216961,4.5,9.1,5.5,6.7,15.8,14.4,36.28919936,-115.0884961
TX,Irving,Dallas,4837000,216290,4.3,8.5,4.8,5,12.1,11.1,32.85838081,-96.97030583
CA,Fremont,San Francisco,626000,214089,4.9,7.2,3.7,3.3,8.5,7.8,37.52786854,-121.9841215
CA,Irvine,Los Angeles,636770,212375,4.7,7.3,3.4,3.3,9,7.7,33.67801089,-117.7736333
AL,Birmingham,Birmingham,107000,212237,5.6,10.5,7.5,8.8,15.2,16.3,33.52756638,-86.79881747
NY,Rochester,Rochester,3663000,210565,5.2,12.6,6.2,8.1,16.4,15.5,43.16798029,-77.61623489
CA,San Bernardino,Los Angeles,665000,209924,4.4,10.7,6.2,7.3,16.6,16.6,34.13923228,-117.2952727
WA,Spokane,Spokane,5367000,208916,6.7,11,6.4,7.6,13.9,13.5,47.67362433,-117.4159733
AL,Montgomery,Montgomery,151000,205764,5.9,10.4,6.8,8.2,14.5,14.5,32.34726453,-86.26770596
