ID,Lat_Metro,Lon_Metro,Metro,Avg Temp 1990,Avg Temp 2014,Pop_Metro_2015,CO2 1975,CO2 1990,CO2 2000,CO2 2012,PM2.5 2000,PM2.5 2005,PM 2.5 2010,PM2.5 2014,Heat Wave Index
342,30.07653098,-94.12750487,Beaumont ,20.1888237,20.7543416,90254.82496,1395407.669,1308544.507,1352458.771,952134.5746,16.59568,11.8752,9.096716,10.047325,24.71150017
491,38.52952242,-89.99408903,Belleville ,13.85541487,14.03151345,58965.57457,339401.3869,255776.8911,255476.6288,216829.7085,17.60976,11.88398,10.034848,11.2596,26.03779984
190,48.75706462,-122.4845974,Bellingham ,9.456313133,10.09080839,72912.47575,201105.3245,180953.8358,230028.3692,209387.9028,7.674412,6.63672,6.337876,6.865475,6.533850193
337,45.77660028,-108.5582377,Billings ,7.857111454,8.362539172,74175.44915,292978.2847,260656.8385,260133.1855,228373.3149,7.883456,7.884814,6.64168,7.25339,11.41940022
937,42.10711766,-75.9258854,Binghamton ,8.901338577,8.983644009,54087.53024,104067.5978,107490.79,110051.8282,73283.15936,14.10826,11.81324,9.471458,9.730155,9.270850182
486,33.50902518,-86.82365065,Birmingham ,17.06690979,17.49764442,196387.767,2202561.192,1989846.723,1714411.25,1858031.765,19.38254,13.8868,10.625714,10.3269,20.21800041
439,46.81803771,-100.7805233,Bismarck ,5.97829628,5.633733869,52468.21878,239994.3911,328905.3586,386401.4327,143272.3924,8.764356,7.440536,6.643044,7.52493,8.325110435
627,39.15946729,-86.53489005,Bloomington ,12.11910319,12.32019329,74426.38234,259462.5416,217223.2617,213033.6257,189620.6568,18.43492,13.34522,11.213,11.24355,15.32110023
576,40.4934032,-88.97138438,Bloomington ,11.32429266,11.59443951,117343.5585,215132.9246,194202.6387,220552.1196,202558.1103,18.81676,12.67302,11.070062,11.8724,7.098720074
171,43.61850498,-116.3044203,Boise City ,9.390797853,10.57361579,345842.6153,880480.1898,794643.4334,1136203.838,1028683.777,9.33479,9.469388,8.470222,9.350495,6.715060234
1022,42.38499617,-71.06303941,Boston ,10.30256605,10.7555151,2063274.183,24637639.3,22116676.64,23176358.33,21858037.97,12.76518,10.7339,8.771842,9.085375,4.048449993
